id,title,province_id,created_at
518,آوا,14,2021-08-20 21:24:21.000000
519,ایور,14,2021-08-20 21:24:21.000000
520,بجنورد,14,2021-08-20 21:24:21.000000
521,پیش قلعه,14,2021-08-20 21:24:21.000000
522,تیتکانلو,14,2021-08-20 21:24:21.000000
523,جاجرم,14,2021-08-20 21:24:21.000000
524,چناران شهر,14,2021-08-20 21:24:21.000000
525,حصارگرمخان,14,2021-08-20 21:24:21.000000
526,درق,14,2021-08-20 21:24:21.000000
527,راز,14,2021-08-20 21:24:21.000000
528,زیارت,14,2021-08-20 21:24:21.000000
529,سنخواست,14,2021-08-20 21:24:21.000000
530,شوقان,14,2021-08-20 21:24:21.000000
531,شیروان,14,2021-08-20 21:24:21.000000
532,صفی آباد,14,2021-08-20 21:24:21.000000
533,فاروج,14,2021-08-20 21:24:21.000000
534,قاضی,14,2021-08-20 21:24:21.000000
535,قوشخانه,14,2021-08-20 21:24:21.000000
536,گرمه,14,2021-08-20 21:24:21.000000
537,لوجلی,14,2021-08-20 21:24:21.000000
538,آبادان,15,2021-08-20 21:24:21.000000
